cty,sc,yr,wht,rce,crl_mze_str,sgr,swt_stm_alc,pls_nut_ocr_spc,vol,vgt,frt,cmt_rmt_omt,pmt,omt,mlk_dai_egg
USA,SSP3,2100,0.134,-0.114,-0.131,0.188,0.056,0.032,0.1,0.401,0.307,-0.006,0.517,-0.006,0.09
USA,SSP4,2015,0.138,-0.106,-0.131,0.222,0.057,0.032,0.102,0.432,0.325,0.025,0.535,0.025,0.092
USA,SSP4,2050,0.134,-0.115,-0.132,0.198,0.056,0.031,0.1,0.395,0.304,-0.012,0.514,-0.012,0.09
USA,SSP4,2100,0.13,-0.123,-0.132,0.179,0.056,0.031,0.098,0.371,0.29,-0.04,0.498,-0.04,0.088
USA,SSP5,2015,0.138,-0.106,-0.131,0.222,0.057,0.032,0.102,0.432,0.325,0.025,0.535,0.025,0.092
USA,SSP5,2050,0.133,-0.116,-0.132,0.186,0.056,0.031,0.099,0.391,0.302,-0.017,0.511,-0.017,0.09
USA,SSP5,2100,0.125,-0.134,-0.132,0.159,0.055,0.031,0.096,0.343,0.273,-0.082,0.475,-0.082,0.087
VNM,SSP1,2015,0.552,0.068,-0.521,0.287,0.287,0.014,0.669,0.455,0.119,0.183,0.974,0.183,0.72
VNM,SSP1,2050,0.432,0.06,-0.864,0.244,0.244,0.013,0.484,0.358,0.116,0.124,0.832,0.124,0.511
VNM,SSP1,2100,0.385,0.053,-2.52,0.226,0.226,0.013,0.426,0.323,0.123,0.092,0.772,0.092,0.448
VNM,SSP2,2015,0.552,0.068,-0.521,0.287,0.287,0.014,0.669,0.455,0.119,0.183,0.974,0.183,0.72
VNM,SSP2,2050,0.438,0.061,-0.814,0.246,0.246,0.013,0.493,0.363,0.116,0.128,0.84,0.128,0.521
VNM,SSP2,2100,0.389,0.055,-4.084,0.227,0.227,0.013,0.43,0.325,0.121,0.094,0.776,0.094,0.452
VNM,SSP3,2015,0.552,0.068,-0.521,0.287,0.287,0.014,0.669,0.455,0.119,0.183,0.974,0.183,0.72
VNM,SSP3,2050,0.453,0.062,-0.735,0.252,0.252,0.013,0.513,0.375,0.117,0.137,0.858,0.137,0.544
VNM,SSP3,2100,0.429,0.06,-0.888,0.243,0.243,0.013,0.48,0.355,0.116,0.122,0.828,0.122,0.507
VNM,SSP4,2015,0.552,0.068,-0.521,0.287,0.287,0.014,0.669,0.455,0.119,0.183,0.974,0.183,0.72
VNM,SSP4,2050,0.446,0.062,-0.77,0.249,0.249,0.013,0.503,0.369,0.116,0.132,0.849,0.132,0.532
VNM,SSP4,2100,0.398,0.058,-1.916,0.23,0.23,0.013,0.439,0.331,0.116,0.1,0.786,0.1,0.462
VNM,SSP5,2015,0.552,0.068,-0.521,0.287,0.287,0.014,0.669,0.455,0.119,0.183,0.974,0.183,0.72
VNM,SSP5,2050,0.423,0.06,-0.953,0.24,0.24,0.013,0.471,0.35,0.116,0.118,0.82,0.118,0.498
VNM,SSP5,2100,0.356,0.044,-2.813,0.217,0.217,0.013,0.398,0.306,0.138,0.072,0.739,0.072,0.418
